name,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,Dan The Automator,Bob Dylan,Vladimir Horowitz,Stevie Wonder,Franz Joseph Haydn,Snoop Dogg,St. Louis Symphony,Panic! At The Disco,Irina Salkow,Al Green,Cold,André Previn,Sonny Clark,Sugar Chile Robinson,Wink,Ted Hawkins,Kid Koala,Cher,Robert Schumann,Αντώνης Διαμαντίδης,"Crosby, Stills & Nash",Billy Talent,Mulatu Astatke,Eddie Cochran,Lata Mangeshkar,Merle Haggard & The Strangers,José Luis Perales,Jean Ritchie,Rage Against The Machine,Mindless Self Indulgence,John Prine,Paul Simon,The Miracles,Johnny Cash,Luther Henderson,Janis Joplin,Lennie Tristano,Benjamin Britten,Gabriela Robin,Unspecified,Jerome Kern,Elton John,Spice Girls,Martin Jones,Maroon 5,The Four Freshmen,Эрнест Хемингуэй,Dimitris Arapakis,Teddy Wilson,Francisco Canaro,Julie London,Merle Haggard,Pro Arte Quartet,Andy Griggs,George Harrison,Bat For Lashes,Kacey Musgraves,Gabriele Santini,Matthew West,Graciela Beltran,Gary Wright,Ignacio Corsini,Arun Kumar,Daz Dillinger,Claude Debussy,The Rolling Stones,James Brown,Mouthy Raw,Craig David,Big Brother & The Holding Company,Dyablo,Tex Beneke,Gal Costa,Shanta Apte,Ricardo Arjona,Red Hot Chili Peppers,Orchestra Sinfonica Di Torino Della Rai,Roger Voudouris,Crystal Gayle,Georgette Heyer,Eileen Farrell,Glenn Miller Orchestra,Billie Holiday,Ernesto Fama,Derek & The Dominos,Flo Rida,LMFAO,Sara Evans,George Jones,Dinah Washington,Lookas,Genesis,Maria Callas,Bob Luman,Fleetwood Mac,Charlo,NB Ridaz,Los Felinos,Boosie Badazz,Lead Belly,The Alan Parsons Project,Van Morrison,Lil Rob,Jaganmoy Mitra,Lil Jon,Webbie,Bebe & Cece Winans,Giuseppe Verdi,Sage The Gemini,Elvis Presley,Frankie Ballard,Luther Henderson Orchestra,Umm Kulthum,Deltron 3030,Maynard Ferguson,Henry Mancini,Del The Funky Homosapien,Adolescent's Orquesta,Muddy Waters,T.G. Sheppard,Antônio Carlos Jobim,Shamshad Begum,Toots & The Maytals
She Will Be Loved - Radio Mix,0.4813664596273292,0.826530612244898,0.22837025367327912,0.7201327433628317,0.37749406702723365,0.6692717873570235,0.0,0.0,0.0,0.055489710160543056,0.8880352606286922,0.0,0.029735449735449736,0.5324813631522897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Do You Know What I'm Seeing?,0.27432712215320915,0.8877551020408163,0.08479487509243482,0.5641592920353983,0.3659671485097601,0.6763951642447186,0.0,0.0,0.7272727272727273,0.1229393384333585,0.8283493006029813,0.0,0.03629629629629629,0.6480820230115475,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Louie, Louie",0.9440993788819877,0.5306122448979592,0.3238192457319229,0.8296460176991151,0.39870032059668753,0.5084869947490537,0.0,0.16910229645093947,0.0,0.013576123262579464,0.5750359646169385,1.0,0.07555555555555557,0.46622919668399837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Shots,0.18012422360248448,0.9081632653061225,0.008204594412114586,0.9092920353982301,0.28317402097416794,0.872796841291163,1.0,1.3465553235908141e-06,0.09090909090909091,0.07984053442516971,0.983777662146858,1.0,0.049841269841269846,0.6683006535947712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Часть 13.2 - Фиеста,0.7008281573498966,0.05102040816326531,0.1379448927756165,0.834070796460177,0.004443756783384491,0.26730980583709857,1.0,0.0,0.36363636363636365,0.4030815644865855,0.6058890147225369,1.0,0.9767195767195768,0.6550878072208649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coo Coo,0.5165631469979296,0.46938775510204084,0.27157348165771794,0.5641592920353983,0.051907538914157905,0.6631660357389995,0.0,0.5490605427974948,0.0,0.24792587005710595,0.7794680297511555,1.0,0.052910052910052914,0.7366775251101506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Powdered Wig,0.860248447204969,0.37755102040816324,0.25650258817477417,0.5553097345132744,0.14804786424357158,0.2968209386575487,0.0,0.000989561586638831,0.0,0.0,0.577851917602767,1.0,0.039153439153439155,0.936352815886738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Часть 82.4 & Часть 83.1 - Прощай оружие,0.5248447204968945,0.08163265306122448,0.11985982059608398,0.7013274336283186,0.11508033119981433,0.23372817193796555,1.0,0.0,0.6363636363636364,0.41385626548863286,0.3616050932019222,1.0,0.9650793650793652,0.4354288041095031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Power of Equality,0.9120082815734989,0.7142857142857143,0.0020757643957174552,0.6670353982300885,0.341270509427909,0.8870435950665527,1.0,0.06304801670146139,0.09090909090909091,0.132636569335201,0.6658504484099048,1.0,0.05015873015873016,0.5359946960679906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Bird,0.3954451345755694,0.7857142857142857,0.9899527376780375,0.5652654867256637,0.04805537289558651,0.1065250132291285,0.0,1.419624217118998e-05,0.45454545454545453,0.078763064324965,0.6330690826727067,1.0,0.03523809523809524,0.6546858359957402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
